Project Title,Funding Raised,Funding Goal,Project Summary
AI vs AI: Deepfake and GenAI Defense System for Combating Synthetic Media threat,$40,"$40,000","In an era where AI is reshaping our digital landscape at an unprecedented pace, we face a critical threat to the very foundations of digital security and trust. The emergence of AI-generated content, particularly deepfakes and manipulated media, has opened Pandora's box of potential misuse and deception. While VC floods into GenAI, the equally crucial field of protection against these remains woefully underfunded and overlooked.The urgency of addressing this challenge cannot be overstated. Recent incidents paint a alarming picture:Corporate Fraud: In 2021, a UK-based company fell victim to a sophisticated attack where AI was used to mimic a CEO's voice, resulting in a fraudulent transfer of $243,000.Financial Scams: Deepfake videos of high-profile figures like Elon Musk have been used to promote fraudulent cryptocurrency schemes, leading to significant financial losses for investors worldwide.Political Manipulation: A deepfake video circulated showing a French diplomat making false, inflammatory statements, leading to international tensions that required substantial diplomatic efforts to resolve.Misinformation Campaigns: Former U.S. President Donald Trump reposted AI-generated deepfakes and manipulated images of Taylor Swift to Truth Social, depicting the pop star and"
Testing and spreading messages to reduce AI x-risk,$971,"$2,500","AI companies are currently locked in a race to create a superhuman AI, and no one knows how to make the first superhuman AI not kill everyone. There’s little governmental oversight or public awareness that everyone’s lives are being risked. Our nonprofit aims to improve institutional response to existential risk from AI by developing and testing messaging about it and launching campaigns to educate the general public and key stakeholders about AI and related risks."
Funding for AI safety comms strategy & career transition support,"$38,952","$38,952","Between December 2023-March 2024 I was working on creating a proactive AI safety advocacy organization tentatively called AI Watch. This was funded until the end of 2023 but I wasn’t compensated for my time on the project after that. In late March, the co-founder decided to switch to a different project and I ended up dropping the comms org idea. This grant would fund my prior work as well as provide transition support for finding a new job or grant."
PauseAI local communities - volunteer stipends,"$2,924","$42,000","PauseAI is a grassroots community of volunteers which aim to inform the public and politicians about the risks from superhuman AI and urge them to work towards an international treaty that prevents the most dangerous AI systems from being developed. PauseAI is largely organised through local communities which take actions to spread awareness such as letter writing workshops, peaceful protests, flyering and giving presentations. The funding in this project will be used to provide local organizers with funding to help them set up and grow these local communities."
Speak up against Project Enigma,The HTML does not provide information about the amount of funding that has been raised.,The HTML does not provide information about a funding goal.,"The project is a call to action for colleagues at a big AI tech company to voice concerns about potentially dangerous features in the next release of their product. The initiator of the project, Jeremy, urges coworkers to demand a halt and a thorough ethical review. He asks those who agree with him to join the Discord group chat ""EthicalAINow"" to discuss further action."
Diversify Funding for AI Safety,$0,"$50,000",This is a meta-AI Safety project with potential for outsize impact. The goal is to secure new sources of funding for AI Safety nonprofits through connections with non-EA grant programs and High Net Worth Individuals. AI Safety work is funding constrained. Many organisations rely on a small cluster of income sources such as the Long Term Future Fund and Open Philanthropy. We need to diversify our funding sources to increase resilience and reduce bottlenecks.
"80,000 Hours","$4,905","$1,500,000","We provide research and support to help people move into careers that effectively tackle the world’s most pressing problems. We currently provide four main programmes to achieve this: Our website – We’ve written a career guide, dozens of cause area problem profiles, and reviews of impactful career paths. In 2023, we had just over 5.5 million visits to our website and our research newsletter went out to more than 400,000 subscribers. Our podcast – We host in-depth conversations about the world’s most pressing problems and how people can use their careers to solve them. In 2023, we had over 290,000 hours of listening time on our podcast. Our job board – We maintain a curated list of promising opportunities for impact and career capital on our job board. In 2023, we listed over 5,000 roles and had over 780,000 clickthroughs from our job board to job ads for open roles. Our one-on-one service – In 2023, we had one-on-one calls with over 1,500 people to work through their career uncertainties and connect them with domain experts. Our headhunting service recommended promising candidates for more than 100 impactful roles in 2023."
Volunteer stipend for EA Brisbane and EA University of Queensland,$219,"$2,000","We are a team of organisers split across the local city and university group in Brisbane, the third largest urban centre in Australia and capital of the state of Queensland. We aim to grow and support the EA community at the University of Queensland through three activity streams: AI Safety, Animal Advocacy and EA meta community building. We are liaising with other student clubs as well as identifying local causes and organisations which are EA adjacent and forming links with them through speaker and industry events. This funding will be used to support our two lead organisers, enabling them to spend less time engaged in paid work and more time spent on EA-related organizing."
AI Animals and Digital Minds 2025,"$4,330","$30,000","In 2024, ~130 (60 in person, 70 virtual) people joined together at the AI, Animals and Digital Minds Conference (AIADM) 2024 in London to learn, connect, and make progress towards making AI safe for nonhumans. The conference followed the original “Artificial Intelligence, Conscious Machines, and Animals: Broadening AI Ethics conference” (held at Princeton by Peter Singer, Tse Yip Fai, Leonie Bossert and Thilo Hagendorff) and now, we want to run the third iteration of it. We are seeking $30k* to help cover the costs of running this event again in 2025, this time in the Bay Area.*For comparison, in-person EAGx events typically cost $150–500k."
AI Governance Explainers,£1433,£2000,"This project aims to explain AI governance in a simplified way, through creating videos. The funding will be used to allocate for time, editing software and possibly equipment improvement."
